date,day_of_week,hour_of_day,sentiment_polarity,sentiment_subjectivity,Trend
12/19/2023 5:25,1,5,-0.380112208,0.028180203,1
12/19/2023 4:50,1,4,1.094871185,-1.099027919,1
12/19/2023 4:10,1,4,-0.332532098,-1.501602248,1
12/19/2023 2:59,1,2,-0.713172974,1.074873459,1
12/18/2023 18:33,0,18,-1.617195053,-0.173106962,1
12/18/2023 18:15,0,18,-0.332532098,-1.501602248,1
12/18/2023 18:11,0,18,1.094871185,0.309982234,1
12/18/2023 17:55,0,17,0.61907009,1.316418057,1
12/18/2023 17:01,0,17,-0.094631551,-0.334136693,1
12/18/2023 15:42,0,15,-0.808333192,-0.69645359,1
12/18/2023 15:27,0,15,0.143268996,-1.099027919,1
12/18/2023 14:13,0,14,-0.18979177,-0.132849529,1
12/18/2023 14:08,0,14,2.046473373,2.524141044,1
12/18/2023 11:54,0,11,1.190031404,0.430754532,1
12/18/2023 11:20,0,11,0.238429215,0.028180203,1
12/18/2023 10:41,0,10,-0.903493411,0.028180203,1
12/18/2023 10:16,0,10,-0.332532098,-1.501602248,1
12/18/2023 8:46,0,8,0.143268996,-1.099027919,1
12/18/2023 7:39,0,7,0.048108777,-0.132849529,1
12/18/2023 7:25,0,7,0.428749653,0.67229913,1
12/18/2023 5:27,0,5,-0.332532098,2.524141044,1
12/18/2023 2:51,0,2,-2.235736475,1.276160624,1
12/17/2023 15:52,6,15,1.903733045,1.477447788,-1
12/17/2023 14:51,6,14,-0.14221166,0.591784264,-1
12/17/2023 10:52,6,10,0.238429215,0.229467368,-1
12/17/2023 10:49,6,10,-0.332532098,-1.501602248,-1
12/17/2023 8:09,6,8,2.046473373,1.195645758,-1
12/17/2023 7:34,6,7,-0.570432645,-0.052334663,-1
12/16/2023 17:37,5,17,-0.808333192,0.108695069,1
12/16/2023 14:45,5,14,0.238429215,0.793071429,1
12/16/2023 10:05,5,10,-0.475272426,0.632041697,1
12/16/2023 9:55,5,9,-0.332532098,-1.501602248,1
12/16/2023 9:00,5,9,-0.332532098,0.712556563,1
12/16/2023 5:18,5,5,0.143268996,-0.052334663,1
12/16/2023 5:08,5,5,-1.284134287,0.108695069,1
12/15/2023 23:40,4,23,-0.475272426,1.195645758,1
12/15/2023 21:19,4,21,-0.332532098,-1.501602248,1
12/15/2023 21:11,4,21,-0.808333192,0.913843727,1
12/15/2023 20:42,4,20,0.809390528,0.95410116,1
12/15/2023 20:30,4,20,-0.951073521,0.229467368,1
12/15/2023 20:25,4,20,-0.332532098,0.994358593,1
12/15/2023 19:03,4,19,-0.427692317,-1.099027919,1
12/15/2023 18:45,4,18,-0.332532098,-1.501602248,1
12/15/2023 18:35,4,18,-0.951073521,0.028180203,1
12/15/2023 18:05,4,18,-0.332532098,-1.501602248,1
12/15/2023 17:30,4,17,-0.618012755,1.276160624,1
12/15/2023 16:52,4,16,-0.094631551,-1.300315083,1
12/15/2023 15:42,4,15,-0.332532098,-0.29387926,1
12/15/2023 13:49,4,13,-0.332532098,-1.501602248,1
12/15/2023 13:32,4,13,0.238429215,-0.615938724,1
12/15/2023 13:31,4,13,-0.570432645,0.189209935,1
12/15/2023 12:00,4,12,-0.332532098,-0.495166425,1
12/15/2023 12:00,4,12,-0.903493411,0.028180203,1
12/15/2023 11:26,4,11,0.000528668,0.390497099,1
12/15/2023 11:06,4,11,0.61907009,0.390497099,1
12/15/2023 9:45,4,9,4.425478845,2.524141044,1
12/15/2023 9:17,4,9,0.856970638,0.511269398,1
12/15/2023 8:46,4,8,-0.094631551,-0.092592096,1
12/15/2023 7:18,4,7,-0.570432645,0.068437636,1
12/15/2023 7:03,4,7,-0.427692317,0.068437636,1
12/15/2023 6:04,4,6,0.476329762,0.189209935,1
12/15/2023 4:38,4,4,-0.570432645,-0.092592096,1
12/14/2023 23:30,3,23,0.000528668,0.269724801,-1
12/14/2023 21:59,3,21,-0.332532098,-1.501602248,-1
12/14/2023 21:37,3,21,-0.332532098,-1.501602248,-1
12/14/2023 19:27,3,19,0.904550747,0.95410116,-1
12/14/2023 19:25,3,19,-0.808333192,0.913843727,-1
12/14/2023 19:18,3,19,1.713412607,1.437190355,-1
12/14/2023 18:14,3,18,-0.332532098,0.511269398,-1
12/14/2023 17:16,3,17,2.046473373,0.511269398,-1
12/14/2023 15:35,3,15,3.473876656,1.517705221,-1
12/14/2023 14:33,3,14,-0.855913302,-0.132849529,-1
12/14/2023 14:02,3,14,-0.332532098,-1.501602248,-1
12/14/2023 14:01,3,14,-0.237371879,0.108695069,-1
12/14/2023 14:01,3,14,-0.332532098,-1.501602248,-1
12/14/2023 14:00,3,14,-0.99865363,-0.575681291,-1
12/14/2023 13:47,3,13,0.333589434,0.309982234,-1
12/14/2023 13:11,3,13,-0.332532098,-1.501602248,-1
12/14/2023 12:25,3,12,0.190849106,-0.817225888,-1
12/14/2023 11:00,3,11,-0.332532098,-1.501602248,-1
12/14/2023 9:20,3,9,-1.759935381,0.511269398,-1
12/14/2023 8:16,3,8,0.714230309,0.390497099,-1
12/14/2023 7:34,3,7,-0.18979177,0.350239666,-1
12/14/2023 5:35,3,5,-0.094631551,-0.69645359,-1
12/14/2023 5:12,3,5,0.190849106,0.591784264,-1
12/14/2023 4:35,3,4,0.143268996,-0.173106962,-1
12/14/2023 4:30,3,4,-0.951073521,0.189209935,-1
12/14/2023 3:27,3,3,2.046473373,0.511269398,-1
12/14/2023 1:54,3,1,0.095688887,0.189209935,-1
12/14/2023 0:06,3,0,-0.332532098,-1.501602248,-1
